Company Key,Company ID
1,0
2,6
3,8
4,9
5,10
6,11
7,12
8,14
9,16
10,18
11,20
12,22
13,28
14,29
15,31
16,32
17,34
18,35
19,37
20,38
21,39
22,40
23,42
24,43
25,45
26,46
27,47
28,48
29,49
30,51
31,52
32,53
33,54
34,59
35,61
36,62
37,64
38,65
39,67
40,68
41,71
42,72
43,73
44,76
45,77
46,78
47,80
48,81
49,82
50,83
51,84
52,85
53,86
54,88
55,91
56,92
57,93
58,94
59,96
60,99
61,100
62,101
63,102
64,103
65,104
66,105
67,106
68,107
69,108
70,109
71,110
72,112
73,113
74,115
75,116
76,118
77,120
78,122
79,126
80,127
81,130
82,132
83,135
84,137
85,139
86,140
87,142
88,143
89,144
90,146
91,148
92,149
93,150
94,153
95,154
96,158
97,159
98,160
99,163
100,165
101,167
102,168
103,169
104,174
105,178
106,179
107,180
108,183
109,184
110,185
111,186
112,192
113,193
114,195
115,197
116,200
117,202
118,203
119,204
120,207
121,209
122,210
123,212
124,213
125,215
126,216
127,217
128,218
129,219
130,220
131,221
132,222
133,223
134,224
135,225
136,227
137,229
138,230
139,232
140,233
141,234
142,237
143,238
144,240
145,242
146,243
147,245
148,246
149,250
150,251
151,253
152,254
153,255
154,257
155,258
156,259
157,260
158,263
159,264
160,268
161,269
162,270
163,271
164,272
165,273
166,274
167,275
168,277
169,278
170,279
171,280
172,281
173,282
174,284
175,286
176,287
177,288
178,289
179,290
180,291
181,292
182,293
183,297
184,301
185,302
186,304
187,305
188,307
189,308
190,309
191,311
192,312
193,313
194,314
195,316
196,317
197,318
198,319
199,320
200,321
201,323
202,324
203,325
204,329
205,330
206,331
207,332
208,333
209,334
210,337
211,338
212,341
213,342
214,343
215,346
216,347
217,348
218,349
219,350
220,351
221,352
222,353
223,355
224,356
225,357
226,358
227,360
228,361
229,362
230,364
231,365
232,366
233,367
234,368
235,369
236,370
237,371
238,372
239,373
240,376
241,377
242,378
243,379
244,380
245,382
246,383
247,384
248,385
249,386
250,388
251,390
252,391
253,392
254,393
255,394
256,395
257,396
258,397
259,398
260,399
261,400
262,401
263,402
264,403
265,405
266,407
267,408
268,409
269,410
270,411
271,412
272,413
273,415
274,416
275,417
276,418
277,419
278,420
279,421
280,422
281,423
282,424
283,425
284,426
285,428
286,429
287,433
288,435
289,436
290,437
291,439
292,442
293,443
294,444
295,445
296,446
297,447
298,448
299,450
300,451
301,452
302,454
303,455
304,456
305,457
306,458
307,459
308,460
309,461
310,465
311,466
312,470
313,477
314,478
315,479
316,481
317,482
318,483
319,484
320,485
321,486
322,487
323,489
324,490
325,491
326,492
327,494
328,496
329,497
330,498
331,499
332,501
333,504
334,506
335,507
336,511
337,512
338,513
339,514
340,515
341,516
342,518
343,520
344,521
345,523
346,525
347,528
348,530
349,531
350,534
351,539
352,541
353,543
